#  ABSOLUTE_lo   ABSOLUTE_up    FLAVOUR_lo    FLAVOUR_up  High_PT_EXTR_lo  High_PT_EXTR_up  PileUpBias_lo  PileUpBias_up  PileUpDataMC_lo  PileUpDataMC_up  PileUpJetRate_lo  PileUpJetRate_up  PileUpOOT_lo  PileUpOOT_up   PileUpPt_lo   PileUpPt_up  RelativeFSR_lo  RelativeFSR_up  RelativeJERC1_lo  RelativeJERC1_up  RelativeJERC2_lo  RelativeJERC2_up  RelativeJERCHF_lo  RelativeJERCHF_up  RelativeStatEC2_lo  RelativeStatEC2_up  RelativeStatHF_lo  RelativeStatHF_up  SINGLE_PION_0005  SINGLE_PION_0510  SINGLE_PION_1015  SINGLE_PION_BAR  SINGLE_PION_END       TIME_lo       TIME_up         ewcor       lumierr         npcor      npcorerr         pt_lo         pt_up       stat_lo       stat_up         uncor    unf_err_lo    unf_err_up            xs          y_lo          y_up
              -0.027                0.026               -0.029                0.028               -0.014                0.015                0.011               -0.013               -0.002                0.002               -0.024                0.024               -0.009                0.008               -0.035                0.035                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0               8.3439                    0                    0               8.3439                    0                   -0                   -0               0.9992                0.022               1.0972                114.5                  114                  133               -0.012                0.012                 0.01               -0.033                0.033                 2950                    0                  0.5
              -0.027                0.027               -0.026                0.026               -0.015                0.016                0.009               -0.011               -0.002                0.002               -0.022                0.022               -0.008                0.007               -0.031                0.031                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0               4.7412                    0                    0               4.7412                    0                   -0                   -0              0.99906                0.022               1.0794               45.066                  133                  153               -0.015                0.015                 0.01               -0.032                0.026                 1341                    0                  0.5
              -0.028                0.027               -0.024                0.023               -0.016                0.017                0.009                -0.01               -0.002                0.002               -0.021                 0.02               -0.007                0.006               -0.028                0.028                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0               2.7157                    0                    0               2.7157                    0                   -0                   -0              0.99894                0.022               1.0659               18.632                  153                  174               -0.016                0.016                 0.01               -0.027                0.026                640.1                    0                  0.5
              -0.028                0.028               -0.022                0.022               -0.017                0.018                0.008               -0.009               -0.002                0.002               -0.019                0.019               -0.006                0.006               -0.025                0.025                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0               1.5414                    0                    0               1.5414                    0                   -0                   -0               0.9988                0.022               1.0556               7.9174                  174                  196               -0.009                0.009                 0.01               -0.027                0.026                311.4                    0                  0.5
              -0.028                0.028                -0.02                 0.02               -0.018                0.018                0.007               -0.008               -0.001                0.002               -0.018                0.018               -0.006                0.005               -0.023                0.023                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0              0.91019                    0                    0              0.91019                    0                   -0                   -0              0.99869                0.022               1.0475               3.6165                  196                  220                -0.01                 0.01                 0.01               -0.024                0.025                160.9                    0                  0.5
              -0.028                0.029               -0.019                0.019               -0.019                0.019                0.006               -0.007               -0.001                0.001               -0.017                0.017               -0.005                0.005               -0.021                0.021                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0              0.54348                    0                    0              0.54348                    0                   -0                   -0              0.99864                0.022                1.041               1.7049                  220                  245               -0.011                0.011                 0.01               -0.024                0.025                 85.4                    0                  0.5
              -0.029                0.029               -0.017                0.018                -0.02                 0.02                0.006               -0.006               -0.001                0.001               -0.016                0.016               -0.005                0.004               -0.019                0.019                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0              0.32484                    0                    0              0.32484                    0                   -0                   -0              0.99862                0.022               1.0355              0.80529                  245                  272               -0.013                0.013                 0.01               -0.022                0.024                45.94                    0                  0.5
              -0.029                 0.03               -0.016                0.017               -0.021                0.021                0.005               -0.006               -0.001                0.001               -0.015                0.015               -0.004                0.004               -0.017                0.018                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0               0.1943                    0                    0               0.1943                    0                   -0                   -0              0.99885                0.022               1.0307               0.3816                  272                  300               -0.016                0.016                 0.01               -0.025                0.022                24.98                    0                  0.5
               -0.03                 0.03               -0.015                0.016               -0.022                0.022                0.005               -0.005               -0.001                0.001               -0.014                0.014               -0.004                0.004               -0.016                0.016                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0               0.1182                    0                    0               0.1182                    0                   -0                   -0               0.9989                0.022               1.0272              0.19194                  300                  330               -0.007                0.007                 0.01               -0.022                0.023                13.93                    0                  0.5
               -0.03                0.031               -0.015                0.015               -0.023                0.023                0.005               -0.005               -0.001                0.001               -0.013                0.014               -0.004                0.004               -0.015                0.015                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0             0.077414                    0                    0             0.077414                    0                   -0                   -0              0.99924                0.022               1.0239             0.094663                  330                  362               -0.008                0.008                 0.01               -0.023                0.023                 7.82                    0                  0.5
              -0.031                0.032               -0.014                0.014               -0.024                0.024                0.004               -0.004               -0.001                0.001               -0.013                0.013               -0.003                0.003               -0.014                0.014                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0             0.047655                    0                    0             0.047655                    0                   -0                   -0              0.99978                0.022               1.0217             0.050675                  362                  395               -0.006                0.006                 0.01               -0.023                0.021                4.493                    0                  0.5
              -0.031                0.032               -0.013                0.014               -0.025                0.025                0.004               -0.004               -0.001                0.001               -0.012                0.012               -0.003                0.003               -0.013                0.013                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0             0.031555                    0                    0             0.031555                    0                   -0                   -0               1.0004                0.022               1.0192             0.025811                  395                  430               -0.006                0.006                 0.01               -0.023                0.023                2.625                    0                  0.5
              -0.032                0.033               -0.013                0.014               -0.026                0.027                0.004               -0.004               -0.001                0.001               -0.011                0.012               -0.003                0.003               -0.012                0.012                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0             0.019884                    0                    0             0.019884                    0                   -0                   -0               1.0013                0.022               1.0172             0.013381                  430                  468               -0.007                0.007                 0.01               -0.022                0.023                 1.52                    0                  0.5
              -0.033                0.034               -0.013                0.013               -0.027                0.028                0.004               -0.003               -0.001                0.001               -0.011                0.011               -0.003                0.003               -0.011                0.011                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0              0.01237                    0                    0              0.01237                    0                   -0                   -0               1.0025                0.022               1.0158            0.0071709                  468                  507               -0.008                0.008                 0.01               -0.023                0.022               0.8747                    0                  0.5
              -0.034                0.035               -0.013                0.013               -0.029                0.029                0.003               -0.003               -0.001                0.001                -0.01                0.011               -0.002                0.003                -0.01                0.011                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0                   -0                    0                   -0                   -0            0.0080333                    0                    0            0.0080333                    0                   -0                   -0               1.0038                0.022                1.014            0.0036289                  507                  548               -0.004                0.004                 0.01               -0.023                0.023               0.5164                    0                  0.5
