#KT_lo        KT_hi         delta_tree     delta_loop
1.140000e+02  1.330000e+02  1.973724e-03  -2.765744e-03
1.330000e+02  1.530000e+02  2.632992e-03  -3.559278e-03
1.530000e+02  1.740000e+02  3.404237e-03  -4.445428e-03
1.740000e+02  1.960000e+02  4.289871e-03  -5.471181e-03
1.960000e+02  2.200000e+02  5.324887e-03  -6.596870e-03
2.200000e+02  2.450000e+02  6.538246e-03  -7.845749e-03
2.450000e+02  2.720000e+02  7.939498e-03  -9.243955e-03
2.720000e+02  3.000000e+02  9.549557e-03  -1.060321e-02
3.000000e+02  3.300000e+02  1.139095e-02  -1.234995e-02
3.300000e+02  3.620000e+02  1.350864e-02  -1.407883e-02
3.620000e+02  3.950000e+02  1.590082e-02  -1.587294e-02
3.950000e+02  4.300000e+02  1.857050e-02  -1.784866e-02
4.300000e+02  4.680000e+02  2.162378e-02  -1.992564e-02
4.680000e+02  5.070000e+02  2.505357e-02  -2.202798e-02
5.070000e+02  5.480000e+02  2.881313e-02  -2.435391e-02
5.480000e+02  5.920000e+02  3.301117e-02  -2.685927e-02
5.920000e+02  6.380000e+02  3.768350e-02  -2.909424e-02
6.380000e+02  6.860000e+02  4.279059e-02  -3.189606e-02
6.860000e+02  7.370000e+02  4.847800e-02  -3.443337e-02
7.370000e+02  7.900000e+02  5.455658e-02  -3.715462e-02
7.900000e+02  8.460000e+02  6.139464e-02  -3.988269e-02
8.460000e+02  9.050000e+02  6.871897e-02  -4.262000e-02
9.050000e+02  9.670000e+02  7.681879e-02  -4.573586e-02
9.670000e+02  1.032000e+03  8.582269e-02  -4.866619e-02
1.032000e+03  1.101000e+03  9.545626e-02  -5.112658e-02
1.101000e+03  1.172000e+03  1.060130e-01  -5.409222e-02
1.172000e+03  1.248000e+03  1.174162e-01  -5.715358e-02
1.248000e+03  1.327000e+03  1.295393e-01  -5.952625e-02
1.327000e+03  1.410000e+03  1.429711e-01  -6.200815e-02
1.410000e+03  1.497000e+03  1.584021e-01  -6.444152e-02
1.497000e+03  1.588000e+03  1.719824e-01  -6.661911e-02
1.588000e+03  1.784000e+03  1.930273e-01  -6.936122e-02
1.784000e+03  2.116000e+03  2.276308e-01  -7.247402e-02
1.140000e+02  1.330000e+02  2.037113e-03  -2.803966e-03
1.330000e+02  1.530000e+02  2.710251e-03  -3.660398e-03
1.530000e+02  1.740000e+02  3.483545e-03  -4.585002e-03
1.740000e+02  1.960000e+02  4.375624e-03  -5.558290e-03
1.960000e+02  2.200000e+02  5.393101e-03  -6.818974e-03
2.200000e+02  2.450000e+02  6.579517e-03  -8.064582e-03
2.450000e+02  2.720000e+02  7.924372e-03  -9.477110e-03
2.720000e+02  3.000000e+02  9.456157e-03  -1.102023e-02
3.000000e+02  3.300000e+02  1.118109e-02  -1.271179e-02
3.300000e+02  3.620000e+02  1.315133e-02  -1.444543e-02
3.620000e+02  3.950000e+02  1.534103e-02  -1.642933e-02
3.950000e+02  4.300000e+02  1.776199e-02  -1.838985e-02
4.300000e+02  4.680000e+02  2.048724e-02  -2.053525e-02
4.680000e+02  5.070000e+02  2.354079e-02  -2.260886e-02
5.070000e+02  5.480000e+02  2.682983e-02  -2.553524e-02
5.480000e+02  5.920000e+02  3.049569e-02  -2.762563e-02
5.920000e+02  6.380000e+02  3.453530e-02  -3.040576e-02
6.380000e+02  6.860000e+02  3.893421e-02  -3.303192e-02
6.860000e+02  7.370000e+02  4.369195e-02  -3.563084e-02
7.370000e+02  7.900000e+02  4.888222e-02  -3.872736e-02
7.900000e+02  8.460000e+02  5.457077e-02  -4.161711e-02
8.460000e+02  9.050000e+02  6.061538e-02  -4.462838e-02
9.050000e+02  9.670000e+02  6.719495e-02  -4.783321e-02
9.670000e+02  1.032000e+03  7.423309e-02  -5.100206e-02
1.032000e+03  1.101000e+03  8.176871e-02  -5.394497e-02
1.101000e+03  1.172000e+03  8.966842e-02  -5.759103e-02
1.172000e+03  1.248000e+03  9.792041e-02  -6.061003e-02
1.248000e+03  1.327000e+03  1.066029e-01  -6.304786e-02
1.327000e+03  1.410000e+03  1.155346e-01  -6.666021e-02
1.410000e+03  1.784000e+03  1.298434e-01  -7.152394e-02
1.140000e+02  1.330000e+02  2.151364e-03  -2.995140e-03
1.330000e+02  1.530000e+02  2.832801e-03  -3.863083e-03
1.530000e+02  1.740000e+02  3.600702e-03  -4.810857e-03
1.740000e+02  1.960000e+02  4.468693e-03  -5.966540e-03
1.960000e+02  2.200000e+02  5.440598e-03  -7.218034e-03
2.200000e+02  2.450000e+02  6.540065e-03  -8.597169e-03
2.450000e+02  2.720000e+02  7.767213e-03  -1.003214e-02
2.720000e+02  3.000000e+02  9.140202e-03  -1.166289e-02
3.000000e+02  3.300000e+02  1.065449e-02  -1.339263e-02
3.300000e+02  3.620000e+02  1.234804e-02  -1.534284e-02
3.620000e+02  3.950000e+02  1.422814e-02  -1.733953e-02
3.950000e+02  4.300000e+02  1.626290e-02  -1.948750e-02
4.300000e+02  4.680000e+02  1.852933e-02  -2.182528e-02
4.680000e+02  5.070000e+02  2.104370e-02  -2.417389e-02
5.070000e+02  5.480000e+02  2.375254e-02  -2.676370e-02
5.480000e+02  5.920000e+02  2.671718e-02  -2.940047e-02
5.920000e+02  6.380000e+02  2.995214e-02  -3.234326e-02
6.380000e+02  6.860000e+02  3.341109e-02  -3.517130e-02
6.860000e+02  7.370000e+02  3.710897e-02  -3.833745e-02
7.370000e+02  7.900000e+02  4.102148e-02  -4.138442e-02
7.900000e+02  8.460000e+02  4.505166e-02  -4.461588e-02
8.460000e+02  9.050000e+02  4.934746e-02  -4.800059e-02
9.050000e+02  9.670000e+02  5.361228e-02  -5.146889e-02
9.670000e+02  1.032000e+03  5.804880e-02  -5.472927e-02
1.032000e+03  1.101000e+03  6.247685e-02  -5.815318e-02
1.101000e+03  1.172000e+03  6.690360e-02  -6.162756e-02
1.172000e+03  1.684000e+03  7.353347e-02  -6.768458e-02
1.140000e+02  1.330000e+02  2.261666e-03  -3.309406e-03
1.330000e+02  1.530000e+02  2.915951e-03  -4.147473e-03
1.530000e+02  1.740000e+02  3.651724e-03  -5.229438e-03
1.740000e+02  1.960000e+02  4.453701e-03  -6.477959e-03
1.960000e+02  2.200000e+02  5.344599e-03  -7.806869e-03
2.200000e+02  2.450000e+02  6.311831e-03  -9.335033e-03
2.450000e+02  2.720000e+02  7.410893e-03  -1.079998e-02
2.720000e+02  3.000000e+02  8.588764e-03  -1.261126e-02
