y_lo   y_up   pt_lo   pt_up   xs          stat_lo   stat_up   uncor   npcor   npcorerr   lumierr   unf_err_lo   unf_err_up   ABSOLUTE_lo   ABSOLUTE_up   High_PT_EXTR_lo   High_PT_EXTR_up   SINGLE_PION_lo   SINGLE_PION_up   FLAVOUR_lo   FLAVOUR_up   TIME_lo   TIME_up   RelativeJERC1_lo   RelativeJERC1_up   RelativeJERC2_lo   RelativeJERC2_up   RelativeJERCHF_lo   RelativeJERCHF_up   RelativeStatEC2_lo   RelativeStatEC2_up   RelativeStatHF_lo   RelativeStatHF_up   RelativeFSR_lo   RelativeFSR_up   PileUpDataMC_lo   PileUpDataMC_up   PileUpOOT_lo   PileUpOOT_up   PileUpPt_lo   PileUpPt_up   PileUpBias_lo   PileUpBias_up   PileUpJetRate_lo   PileUpJetRate_up
0.0    0.5    114     133     2.950e+03   0.012     0.012     0.010   1.117   0.015      0.022     0.033        0.033        0.027         0.026         0.014             0.015             0.004            0.004            0.029        0.028        0.000     -0.000    0.000              -0.000             0.000              0.000              0.000               -0.000              0.000                0.000                0.000               -0.000              0.000            0.000            0.002             0.002             0.009          0.008          0.035         0.035         -0.011          -0.013          0.024              0.024
0.0    0.5    133     153     1.341e+03   0.015     0.015     0.010   1.098   0.012      0.022     0.032        0.026        0.027         0.027         0.015             0.016             0.005            0.005            0.026        0.026        0.000     -0.000    0.000              -0.000             0.000              0.000              0.000               -0.000              0.000                0.000                0.000               -0.000              0.000            0.000            0.002             0.002             0.008          0.007          0.031         0.031         -0.009          -0.011          0.022              0.022
0.0    0.5    153     174     6.401e+02   0.016     0.016     0.010   1.084   0.010      0.022     0.027        0.026        0.028         0.027         0.016             0.017             0.006            0.006            0.024        0.023        0.000     -0.000    0.000              -0.000             0.000              0.000              0.000               -0.000              0.000                0.000                0.000               -0.000              0.000            0.000            0.002             0.002             0.007          0.006          0.028         0.028         -0.009          -0.010          0.021              0.020
0.0    0.5    174     196     3.114e+02   0.009     0.009     0.010   1.072   0.008      0.022     0.027        0.026        0.028         0.028         0.017             0.018             0.007            0.007            0.022        0.022        0.000     -0.000    0.000              -0.000             0.000              0.000              0.000               -0.000              0.000                0.000                0.000               -0.000              0.000            0.000            0.002             0.002             0.006          0.006          0.025         0.025         -0.008          -0.009          0.019              0.019
0.0    0.5    196     220     1.609e+02   0.010     0.010     0.010   1.063   0.006      0.022     0.024        0.025        0.028         0.028         0.018             0.018             0.008            0.008            0.020        0.020        0.000     -0.000    0.000              -0.000             0.000              0.000              0.000               -0.000              0.000                0.000                0.000               -0.000              0.000            0.000            0.001             0.002             0.006          0.005          0.023         0.023         -0.007          -0.008          0.018              0.018
0.0    0.5    220     245     8.540e+01   0.011     0.011     0.010   1.055   0.005      0.022     0.024        0.025        0.028         0.029         0.019             0.019             0.009            0.009            0.019        0.019        0.000     -0.000    0.000              -0.000             0.000              0.000              0.000               -0.000              0.000                0.000                0.000               -0.000              0.000            0.000            0.001             0.001             0.005          0.005          0.021         0.021         -0.006          -0.007          0.017              0.017
0.0    0.5    245     272     4.594e+01   0.013     0.013     0.010   1.048   0.004      0.022     0.022        0.024        0.029         0.029         0.020             0.020             0.010            0.010            0.017        0.018        0.000     -0.000    0.000              -0.000             0.000              0.000              0.000               -0.000              0.000                0.000                0.000               -0.000              0.000            0.000            0.001             0.001             0.005          0.004          0.019         0.019         -0.006          -0.006          0.016              0.016
0.0    0.5    272     300     2.498e+01   0.016     0.016     0.010   1.043   0.004      0.022     0.025        0.022        0.029         0.030         0.021             0.021             0.011            0.011            0.016        0.017        0.000     -0.000    0.000              -0.000             0.000              0.000              0.000               -0.000              0.000                0.000                0.000               -0.000              0.000            0.000            0.001             0.001             0.004          0.004          0.017         0.018         -0.005          -0.006          0.015              0.015
0.0    0.5    300     330     1.393e+01   0.007     0.007     0.010   1.038   0.003      0.022     0.022        0.023        0.030         0.030         0.022             0.022             0.012            0.012            0.015        0.016        0.000     -0.000    0.000              -0.000             0.000              0.000              0.000               -0.000              0.000                0.000                0.000               -0.000              0.000            0.000            0.001             0.001             0.004          0.004          0.016         0.016         -0.005          -0.005          0.014              0.014
0.0    0.5    330     362     7.820e+00   0.008     0.008     0.010   1.034   0.002      0.022     0.023        0.023        0.030         0.031         0.023             0.023             0.014            0.014            0.015        0.015        0.000     -0.000    0.000              -0.000             0.000              0.000              0.000               -0.000              0.000                0.000                0.000               -0.000              0.000            0.000            0.001             0.001             0.004          0.004          0.015         0.015         -0.005          -0.005          0.013              0.014
0.0    0.5    362     395     4.493e+00   0.006     0.006     0.010   1.030   0.002      0.022     0.023        0.021        0.031         0.032         0.024             0.024             0.015            0.015            0.014        0.014        0.000     -0.000    0.000              -0.000             0.000              0.000              0.000               -0.000              0.000                0.000                0.000               -0.000              0.000            0.000            0.001             0.001             0.003          0.003          0.014         0.014         -0.004          -0.004          0.013              0.013
