pt_mi        ymin  ymax  NP_Pythia     NP_Herwig++   NP_Powheg     Powheg_stat   TOT_NP        TOT_NP_stat   PS            PS_stat       NPxPS         NPxPS_stat
123.500000   0     0.5   1.098000e+00  1.136000e+00  1.058373e+00  3.068526e-03  1.097187e+00  3.881335e-02  1.063753e+00  5.318766e-01  1.167136e+00  5.850267e-01
143.000000   0     0.5   1.084000e+00  1.113000e+00  1.045788e+00  2.853158e-03  1.079394e+00  3.360593e-02  1.050091e+00  5.250456e-01  1.133462e+00  5.678287e-01
163.500000   0     0.5   1.072000e+00  1.095000e+00  1.036784e+00  2.775465e-03  1.065892e+00  2.910829e-02  1.039968e+00  5.199839e-01  1.108493e+00  5.550726e-01
185.000000   0     0.5   1.063000e+00  1.081000e+00  1.030149e+00  2.769859e-03  1.055575e+00  2.542531e-02  1.032251e+00  5.161256e-01  1.089618e+00  5.454409e-01
208.000000   0     0.5   1.055000e+00  1.070000e+00  1.025047e+00  2.802630e-03  1.047523e+00  2.247679e-02  1.026114e+00  5.130572e-01  1.074879e+00  5.379339e-01
232.500000   0     0.5   1.049000e+00  1.061000e+00  1.021073e+00  2.855563e-03  1.041036e+00  1.996362e-02  1.021174e+00  5.105868e-01  1.063079e+00  5.319302e-01
258.500000   0     0.5   1.043000e+00  1.053000e+00  1.017941e+00  2.917804e-03  1.035471e+00  1.752925e-02  1.017150e+00  5.085751e-01  1.053229e+00  5.269164e-01
286.000000   0     0.5   1.039000e+00  1.046000e+00  1.015448e+00  2.982953e-03  1.030724e+00  1.527619e-02  1.013839e+00  5.069197e-01  1.044988e+00  5.227237e-01
315.000000   0     0.5   1.035000e+00  1.041000e+00  1.013442e+00  3.047314e-03  1.027221e+00  1.377916e-02  1.011088e+00  5.055441e-01  1.038611e+00  5.194923e-01
346.000000   0     0.5   1.031000e+00  1.036000e+00  1.011790e+00  3.109799e-03  1.023895e+00  1.210523e-02  1.008748e+00  5.043740e-01  1.032852e+00  5.165703e-01
