ptmean ylow yhigh np ps npxps
123.5 0 0.5 1.052713 1.040946 1.095817
143 0 0.5 1.039225 1.036615 1.077276
163.5 0 0.5 1.029518 1.032709 1.063193
185 0 0.5 1.022330 1.029149 1.052130
208 0 0.5 1.016774 1.025810 1.043016
232.5 0 0.5 1.012427 1.022669 1.035378
258.5 0 0.5 1.008988 1.019710 1.028875
286 0 0.5 1.006238 1.016914 1.023257
315 0 0.5 1.004017 1.014267 1.018341
346 0 0.5 1.002181 1.011717 1.013924
378.5 0 0.5 1.000680 1.009299 1.009985
412.5 0 0.5 0.999441 1.007000 1.006437
449 0 0.5 0.998385 1.004752 1.003129
487.5 0 0.5 0.997495 1.002588 1.000077
527.5 0 0.5 0.996752 1.000528 0.997279
570 0 0.5 0.996113 0.998519 0.994638
615 0 0.5 0.995563 0.996563 0.992141
662 0 0.5 0.995093 0.994680 0.989799
711.5 0 0.5 0.994687 0.992848 0.987573
763.5 0 0.5 0.994335 0.991068 0.985454
818 0 0.5 0.994030 0.989340 0.983433
875.5 0 0.5 0.993762 0.987647 0.981486
936 0 0.5 0.993527 0.985993 0.979610
999.5 0 0.5 0.993320 0.984377 0.977802
1066.5 0 0.5 0.993138 0.982790 0.976046
1136.5 0 0.5 0.992978 0.981244 0.974353
1210 0 0.5 0.992836 0.979729 0.972710
1287.5 0 0.5 0.992709 0.978236 0.971104
1368.5 0 0.5 0.992597 0.976778 0.969547
1453.5 0 0.5 0.992498 0.975346 0.968028
1542.5 0 0.5 0.992409 0.973941 0.966547
1686 0 0.5 0.992291 0.971852 0.964360
1950 0 0.5 0.992134 0.968473 0.960855
123.5 0.5 1 1.059576 1.035336 1.097018
143 0.5 1 1.045251 1.031166 1.077827
163.5 0.5 1 1.034748 1.027356 1.063055
185 0.5 1 1.026836 1.023842 1.051318
208 0.5 1 1.020623 1.020509 1.041555
232.5 0.5 1 1.015688 1.017342 1.033302
258.5 0.5 1 1.011726 1.014327 1.026221
286 0.5 1 1.008514 1.011452 1.020064
315 0.5 1 1.005887 1.008705 1.014643
346 0.5 1 1.003688 1.006035 1.009745
378.5 0.5 1 1.001866 1.003482 1.005355
412.5 0.5 1 1.000346 1.001036 1.001382
449 0.5 1 0.999035 0.998624 0.997661
487.5 0.5 1 0.997920 0.996285 0.994212
527.5 0.5 1 0.996977 0.994042 0.991037
570 0.5 1 0.996158 0.991838 0.988028
615 0.5 1 0.995446 0.989677 0.985170
662 0.5 1 0.994832 0.987583 0.982479
711.5 0.5 1 0.994296 0.985532 0.979910
763.5 0.5 1 0.993827 0.983526 0.977454
818 0.5 1 0.993416 0.981565 0.975102
875.5 0.5 1 0.993052 0.979633 0.972827
936 0.5 1 0.992730 0.977733 0.970625
999.5 0.5 1 0.992446 0.975866 0.968494
1066.5 0.5 1 0.992191 0.974021 0.966415
1136.5 0.5 1 0.991966 0.972213 0.964402
1210 0.5 1 0.991765 0.970431 0.962439
1287.5 0.5 1 0.991584 0.968665 0.960513
1368.5 0.5 1 0.991423 0.966930 0.958636
1597 0.5 1 0.991077 0.962539 0.953950
123.5 1 1.5 1.046107 1.030781 1.078307
143 1 1.5 1.035625 1.024267 1.060757
163.5 1 1.5 1.028224 1.018314 1.047055
185 1 1.5 1.022837 1.012824 1.035954
208 1 1.5 1.018741 1.007617 1.026501
232.5 1 1.5 1.015585 1.002670 1.018296
258.5 1 1.5 1.013124 0.997959 1.011057
286 1 1.5 1.011184 0.993467 1.004578
315 1 1.5 1.009638 0.989176 0.998709
346 1 1.5 1.008376 0.985005 0.993255
378.5 1 1.5 1.007357 0.981015 0.988232
412.5 1 1.5 1.006525 0.977193 0.983570
449 1 1.5 1.005825 0.973426 0.979096
487.5 1 1.5 1.005242 0.969770 0.974854
527.5 1 1.5 1.004759 0.966266 0.970865
570 1 1.5 1.004349 0.962823 0.967011
615 1 1.5 1.003999 0.959447 0.963284
662 1 1.5 1.003704 0.956175 0.959717
711.5 1 1.5 1.003451 0.952971 0.956260
763.5 1 1.5 1.003234 0.949837 0.952908
818 1 1.5 1.003047 0.946773 0.949658
875.5 1 1.5 1.002885 0.943754 0.946477
936 1 1.5 1.002744 0.940785 0.943367
999.5 1 1.5 1.002621 0.937869 0.940327
1066.5 1 1.5 1.002514 0.934986 0.937336
1136.5 1 1.5 1.002420 0.932161 0.934417
1428 1 1.5 1.002161 0.922017 0.924009
123.5 1.5 2 1.050609 1.008179 1.059202
143 1.5 2 1.038362 0.999784 1.038138
163.5 1.5 2 1.029482 0.992111 1.021361
185 1.5 2 1.022858 0.985036 1.007552
208 1.5 2 1.017704 0.978326 0.995646
232.5 1.5 2 1.013647 0.971949 0.985213
258.5 1.5 2 1.010418 0.965878 0.975941
286 1.5 2 1.007821 0.960089 0.967597
315 1.5 2 1.005712 0.954558 0.960011
346 1.5 2 1.003960 0.949182 0.952942
378.5 1.5 2 1.002520 0.944041 0.946420
412.5 1.5 2 1.001325 0.939115 0.940360
449 1.5 2 1.000303 0.934260 0.934543
487.5 1.5 2 0.999438 0.929549 0.929026
527.5 1.5 2 0.998711 0.925033 0.923841
570 1.5 2 0.998084 0.920596 0.918832
615 1.5 2 0.997542 0.916244 0.913992
662 1.5 2 0.997077 0.912027 0.909361
711.5 1.5 2 0.996674 0.907898 0.904878
763.5 1.5 2 0.996323 0.903858 0.900534
818 1.5 2 0.996017 0.899910 0.896325
875.5 1.5 2 0.995747 0.896020 0.892209
936 1.5 2 0.995510 0.892193 0.888188
