#    JESu_up    Modc_5_up           CS      JESu_lo     ThE_2_lo          had     IDe_3_up     EHFSc_lo        Q2_lo     ThE_1_up        Q2_up      JESc_up      JESc_lo    Modc_3_up     IDe_4_lo     ThE_2_up     ThE_5_lo      Modu_lo    UnCorrSys     IDe_5_lo     IDe_0_up      Ee_4_lo     IDe_5_up        Pt_up      Bkgd_up      Modu_up     EHFSu_up      Ee_1_up     EHFSu_lo     ThE_3_lo     ThE_3_up     IDe_2_lo     IDe_0_lo     IDe_3_lo           EW          sys      Trig_up       haderr     IDe_4_up     ThE_5_up     ThE_4_up     EHFSc_up      Lumi_up      Ee_4_up     IDe_1_up    Modc_4_up      Ee_2_lo      Ee_5_up      Lumi_lo    Modc_2_lo     IDe_1_lo      LArN_up      Ee_1_lo          tot    Modc_1_lo     IDe_2_up      Ee_3_lo      TrCl_lo     ThE_0_up        Pt_lo      Bkgd_lo      LArN_lo      Ee_3_up    Modc_2_up      Trig_lo     ThE_4_lo    Modc_0_lo    Modc_0_up    Modc_5_lo      Ee_5_lo    Modc_3_lo    Modc_4_lo      Ee_2_up    Modc_1_up         stat      TrCl_up     ThE_1_lo     ThE_0_lo      Ee_0_up      Ee_0_lo
     0.41012            0       0.1632      -0.5374            0         0.93            0      -0.2192          150            0          200      0.41012      -0.5374            0            0            0            0      0.61518            0            0            0            0            0           11            0     -0.61518      0.19092            0      -0.2192            0            0            0           -0            0            1          1.1            0          2.2            0            0            0      0.19092            0            0            0            0            0            0           -0            0            0          0.5            0          2.9            0            0            0           -0         0.11            7           -0         -0.5            0            0           -0            0      0.20506     -0.20506            0            0            0            0            0            0          2.7            0            0        -0.14        -0.44         0.31
      1.4284            0       0.0716      -1.5344            0         0.97            0      0.13435          150            0          200       1.4284      -1.5344            0            0            0            0      -2.1637            0            0           -0            0            0           18            0       2.1637    -0.077782            0      0.13435            0            0            0            0            0            1            3            0          1.7            0            0            0    -0.077782            0            0            0            0            0            0           -0            0            0          0.5            0          5.1            0            0            0           -0         0.21           11           -0         -0.5            0            0           -0            0     -0.72125      0.72125            0            0            0            0            0            0          4.1            0            0        -0.26        -0.67          0.5
      2.1284            0       0.0187      -2.1284            0         0.96            0      0.43134          150            0          200       2.1284      -2.1284            0            0            0            0      -3.0335            0            0            0            0            0           30            0       3.0335     -0.24749            0      0.43134            0            0            0           -0            0            1          4.2            0          1.1            0            0            0     -0.24749            0            0            0            0            0            0           -0            0            0          0.5            0          7.7            0            0            0           -0         0.35           18           -0         -0.5            0            0           -0            0      -1.0112       1.0112            0            0            0            0            0            0          6.4            0            0        -0.38        -0.38         0.51
      3.1961            0       0.0021      -3.4719            0         0.95            0      0.42426          150            0          200       3.1961      -3.4719            0            0            0            0      -11.551            0            0           -0            0            0           50            0       11.551     -0.36062            0      0.42426            0            0            0            0            0            1         11.9            0          0.7            0            0            0     -0.36062            0            0            0            0            0            0           -0            0            0          0.5            0         19.4            0            0            0           -0         0.24           30           -0         -0.5            0            0           -0            0      -3.8502       3.8502            0            0            0            0            0            0         15.3            0            0        -0.54        -0.11        -0.51
      0.3677            0       0.1728     -0.44548            0         0.93            0     -0.28991          200         0.12          270       0.3677     -0.44548            0            0            0            0       1.2622            0            0            0            0            0           11            0      -1.2622      0.45962        -0.64     -0.28991            0            0            0            0            0            1          1.7            0          2.1            0            0            0      0.45962            0            0        -0.01            0            0            0           -0            0         0.01          0.5         0.87          3.4      0.42073            0            0           -0            0            7           -0         -0.5            0            0           -0            0            0            0            0            0            0            0            0     -0.42073          2.9            0        -0.07            0            0            0
      1.4071            0       0.0844      -1.4071            0         0.97            0      0.13435          200         0.18          270       1.4071      -1.4071            0            0            0            0      -2.5774            0            0            0            0            0           18            0       2.5774     -0.12728        -0.67      0.13435            0            0            0            0            0            1          3.3            0          1.7            0            0            0     -0.12728            0            0        -0.01            0            0            0           -0            0         0.01          0.5         0.63          5.2     -0.85913            0            0           -0            0           11           -0         -0.5            0            0           -0            0            0            0            0            0            0            0            0      0.85913          4.1            0        -0.21            0            0            0
      2.3122            0       0.0221      -2.1213            0         0.97            0      0.28991          200          0.1          270       2.3122      -2.1213            0            0            0            0      -4.2957            0            0            0            0            0           30            0       4.2957     -0.24042        -0.64      0.28991            0            0            0            0            0            1          5.2            0          1.3            0            0            0     -0.24042            0            0           -0            0            0            0           -0            0            0          0.5         0.53          8.4      -1.4319            0            0           -0            0           18           -0         -0.5            0            0           -0            0            0            0            0            0            0            0            0       1.4319          6.6            0         -0.2            0            0            0
      3.7406            0       0.0027      -3.1396            0         0.96            0      0.38891          200         0.16          270       3.7406      -3.1396            0            0            0            0      -4.0941            0            0            0            0            0           50            0       4.0941     -0.50912        -0.02      0.38891            0            0            0            0            0            1          6.3            0          1.2            0            0            0     -0.50912            0            0            0            0            0            0           -0            0           -0          0.5          0.1         16.4      -1.3647            0            0           -0            0           30           -0         -0.5            0            0           -0            0            0            0            0            0            0            0            0       1.3647         15.2            0        -0.21            0            0            0
     0.30406            0       0.1895      -0.3677        -0.11         0.93            0     -0.45255          270            0          400      0.30406      -0.3677            0            0         0.07            0     -0.61518            0            0            0            0            0           11            0      0.61518      0.45255            0     -0.45255            0            0         0.01            0            0            1          1.4            0          1.5            0            0            0      0.45255            0            0            0            0         0.74            0           -0     -0.20506            0          0.5            0          3.3            0        -0.01            0           -0            0            7           -0         -0.5            0      0.20506           -0            0            0            0            0            0            0            0           -1            0            3            0            0            0            0            0
      1.3223            0       0.1009      -1.2374        -0.11         0.97            0    -0.042426          270            0          400       1.3223      -1.2374            0            0         0.16            0      -2.3122            0            0            0            0            0           18            0       2.3122     0.042426            0    -0.042426            0            0         0.02            0            0            1            3            0          1.1            0            0            0     0.042426            0            0            0            0         0.86            0           -0     -0.77075            0          0.5            0            5            0        -0.02            0           -0            0           11           -0         -0.5            0      0.77075           -0            0            0            0            0            0            0            0        -0.73            0            4            0            0            0            0            0
      2.1142            0       0.0254      -2.2627        -0.68         0.97            0      0.16971          270            0          400       2.1142      -2.2627            0            0         0.33            0      -1.5167            0            0            0            0            0           30            0       1.5167     -0.14142            0      0.16971            0            0         0.02            0            0            1          3.6            0          0.9            0            0            0     -0.14142            0            0            0            0         0.62            0           -0     -0.50558            0          0.5            0          7.7            0        -0.02            0           -0            0           18           -0         -0.5            0      0.50558           -0            0            0            0            0            0            0            0        -0.99            0          6.8            0            0            0            0            0
      3.4648            0       0.0032       -3.677         0.03         0.95            0     0.098995          270            0          400       3.4648       -3.677            0            0         0.27            0       3.9775            0            0            0            0            0           50            0      -3.9775      -0.2687            0     0.098995            0            0         0.04            0            0            1          6.3            0          0.5            0            0            0      -0.2687            0            0            0            0        -0.32            0           -0       1.3258            0          0.5            0         16.4            0        -0.04            0           -0            0           30           -0         -0.5            0      -1.3258           -0            0            0            0            0            0            0            0         0.82            0         15.1            0            0            0            0            0
     0.47376            0       0.2229     -0.57983            0         0.93        -0.02     -0.33941          400            0          700      0.47376     -0.57983      0.18385            0            0            0     -0.55154            0            0            0            0            0           11            0      0.55154      0.34648            0     -0.33941        -0.02         0.01            0            0         0.02            1          1.6            0          1.2            0            0            0      0.34648            0            0            0            0            0            0           -0            0            0          0.5            0          3.6            0            0         1.19           -0            0            7           -0         -0.5        -1.09            0           -0            0            0            0            0            0     -0.18385            0            0            0          3.2            0            0            0            0            0
      1.0182            0       0.1228     -0.98288            0         0.97        -0.04     -0.15556          400            0          700       1.0182     -0.98288      0.10607            0            0            0      -0.3182            0            0            0            0            0           18            0       0.3182      0.15556            0     -0.15556        -0.11         0.08            0            0         0.04            1          1.7            0            1            0            0            0      0.15556            0            0            0            0            0            0           -0            0            0          0.5            0          4.4            0            0         0.66           -0            0           11           -0         -0.5        -0.61            0           -0            0            0            0            0            0     -0.10607            0            0            0          4.1            0            0            0            0            0
      2.3122            0       0.0363      -2.1496            0         0.97        -0.07     -0.10607          400            0          700       2.3122      -2.1496      0.87681            0            0            0      -2.6304            0            0            0            0            0           30            0       2.6304    -0.014142            0     -0.10607         -0.1         0.13            0            0         0.07            1          4.1            0          0.5            0            0            0    -0.014142            0            0            0            0            0            0           -0            0            0          0.5            0          7.4            0            0         0.77           -0            0           18           -0         -0.5        -0.79            0           -0            0            0            0            0            0     -0.87681            0            0            0          6.1            0            0            0            0            0
      3.6275            0       0.0039      -3.5002            0         0.96        -0.16     0.070711          400            0          700       3.6275      -3.5002      -3.5143            0            0            0       10.543            0            0            0            0            0           50            0      -10.543     -0.22627            0     0.070711        -0.36         0.29            0            0         0.16            1         11.2            0          0.4            0            0            0     -0.22627            0            0            0            0            0            0           -0            0            0          0.5            0         19.9            0            0        -0.16           -0            0           30           -0         -0.5        -0.03            0           -0            0            0            0            0            0       3.5143            0            0            0         16.5            0            0            0            0            0
     0.38184            0       0.2412     -0.45962            0         0.92            0     -0.25456          700            0         5000      0.38184     -0.45962            0         0.06            0            0     -0.49851            0            0            0         0.64            0           11            0      0.49851      0.28284            0     -0.25456            0            0            0            0            0            1          1.2            0          0.9        -0.06            0        -0.02      0.28284            0        -0.61            0      0.16617            0            0           -0            0            0          0.5            0          3.6            0            0            0           -0            0            7           -0         -0.5            0            0           -0         0.03            0            0            0            0            0     -0.16617            0            0          3.4            0            0            0            0            0
     0.79903            0       0.1586     -0.70711            0         0.97            0    -0.049497          700            0         5000      0.79903     -0.70711            0         0.01            0            0      0.97581            0            0            0         0.76            0           18            0     -0.97581     0.035355            0    -0.049497            0            0            0            0            0            1          1.7            0          0.5        -0.01            0        -0.15     0.035355            0        -0.62            0     -0.32527            0            0           -0            0            0          0.5            0          4.2            0            0            0           -0            0           11           -0         -0.5            0            0           -0         0.13            0            0            0            0            0      0.32527            0            0          3.9            0            0            0            0            0
      1.5839            0       0.0596      -1.5981            0         0.97            0    -0.042426          700            0         5000       1.5839      -1.5981            0         0.06            0            0      -1.0925            0            0            0         0.72            0           30            0       1.0925     0.042426            0    -0.042426            0            0            0            0            0            1          2.6            0          0.4        -0.06            0         0.09     0.042426            0        -0.67            0      0.36416            0            0           -0            0            0          0.5            0          5.5            0            0            0           -0            0           18           -0         -0.5            0            0           -0        -0.08            0            0            0            0            0     -0.36416            0            0          4.8            0            0            0            0            0
      3.0193            0       0.0114      -2.8567            0         0.96            0     0.028284          700            0         5000       3.0193      -2.8567            0         0.13            0            0     -0.90156            0            0            0         0.46            0           50            0      0.90156    0.0070711            0     0.028284            0            0            0            0            0            1          4.3            0          0.3        -0.13            0          0.3    0.0070711            0        -0.48            0      0.30052            0            0           -0            0            0          0.5            0          9.5            0            0            0           -0            0           30           -0         -0.5            0            0           -0         -0.3            0            0            0            0            0     -0.30052            0            0          8.5            0            0            0            0            0
     0.14142        -2.04       0.3043     -0.24042            0         0.91            0     -0.34648         5000            0        15000      0.14142     -0.24042            0            0            0         0.28         6.12            0           -0            0            0            0           11            0        -6.12      0.21213            0     -0.34648            0            0            0            0            0            1          5.9            0          0.6            0        -0.02            0      0.21213            0            0            0            0            0        -1.12           -0            0            0          0.5            0         15.7            0            0            0           -0            0            7           -0         -0.5            0            0           -0            0            0            0         2.04        -1.03            0            0            0            0         14.5            0            0            0            0            0
     0.70711     -0.87681       0.2039     -0.43134            0         0.96            0     0.028284         5000            0        15000      0.70711     -0.43134            0            0            0         0.55       2.6304            0         0.06            0            0        -0.06           18            0      -2.6304     0.056569            0     0.028284            0            0            0            0            0            1          2.9            0          0.6            0        -0.07            0     0.056569            0            0            0            0            0        -0.32           -0            0            0          0.5            0         16.6            0            0            0           -0            0           11           -0         -0.5            0            0           -0            0            0            0      0.87681         1.79            0            0            0            0         16.3            0            0            0            0            0
      1.1738      -5.5296       0.0784      -1.0041            0         0.99            0     -0.24042         5000            0        15000       1.1738      -1.0041            0            0            0         0.28       16.589            0         0.09            0            0        -0.09           30            0      -16.589      0.16263            0     -0.24042            0            0            0            0            0            1         15.7            0          1.1            0        -0.23            0      0.16263            0            0            0            0            0        -0.73           -0            0            0          0.5            0         26.6            0            0            0           -0            0           18           -0         -0.5            0            0           -0            0            0            0       5.5296         0.57            0            0            0            0         21.5            0            0            0            0            0
      1.6829      -7.8736       0.0361      -1.6334            0         0.98            0     0.028284         5000            0        15000       1.6829      -1.6334            0            0            0        -0.24       23.621            0         0.15            0            0        -0.15           50            0      -23.621     0.021213            0     0.028284            0            0            0            0            0            1         22.4            0          0.8            0         0.31            0     0.021213            0            0            0            0            0        -0.24           -0            0            0          0.5            0         29.7            0            0            0           -0            0           30           -0         -0.5            0            0           -0            0            0            0       7.8736        -0.37            0            0            0            0         19.5            0            0            0            0            0
